date,song_rows,total_streams,tracks_with_valence,streams_with_valence,sad_streams,sad_songs_count,avg_valence,median_valence,std_valence,min_valence,max_valence,valence_coverage,stream_coverage,share_sad_streams,share_sad_songs,weighted_avg_valence
2020-11-21,60,850996.0,60,850996.0,272979.0,18,0.51401,0.505,0.2222584224252999,0.0605,0.947,1.0,1.0,0.32077589083849983,0.3,0.5045170550742893
2020-11-22,63,798017.0,63,798017.0,271163.0,21,0.50035873015873,0.494,0.233121810631073,0.0605,0.947,1.0,1.0,0.3397960193830457,0.3333333333333333,0.5013880552669928
2020-11-23,56,663578.0,56,663578.0,245098.0,21,0.4640642857142857,0.467,0.22649898047418263,0.0605,0.947,1.0,1.0,0.3693582367106806,0.375,0.47084192302939515
2020-11-24,59,690389.0,59,690389.0,250127.0,21,0.4792813559322034,0.469,0.23044099063241108,0.0605,0.947,1.0,1.0,0.36229864612559004,0.3559322033898305,0.47731999235213757
2020-11-25,61,768595.0,61,768595.0,265047.0,20,0.4962229508196721,0.494,0.22629741300144718,0.0605,0.947,1.0,1.0,0.34484611531430726,0.32786885245901637,0.48957558193847217
2020-11-26,61,724099.0,61,724099.0,261718.0,22,0.4808950819672131,0.473,0.23563310140005758,0.0605,0.947,1.0,1.0,0.36143952691551845,0.36065573770491804,0.4817105336424991
2020-11-27,54,691136.0,54,691136.0,241589.0,18,0.4931222222222222,0.473,0.2301130966127405,0.0605,0.947,1.0,1.0,0.34955348874895825,0.3333333333333333,0.4908511834139734
2020-11-28,62,904958.0,62,904958.0,287256.0,18,0.518283870967742,0.51,0.22917953388551757,0.0605,0.947,1.0,1.0,0.3174246760623145,0.2903225806451613,0.5160644711688276
2020-11-29,65,840652.0,65,840652.0,292564.0,23,0.4912399999999999,0.483,0.23599021550161778,0.0605,0.947,1.0,1.0,0.3480203461123033,0.35384615384615387,0.5103937621037005
2020-11-30,60,682097.0,60,682097.0,243116.0,21,0.4896766666666667,0.473,0.2412774655423317,0.0605,0.947,1.0,1.0,0.3564243795237334,0.35,0.4942373053979127
2020-12-01,60,718626.0,60,718626.0,261608.0,22,0.48246,0.469,0.2399527596162578,0.0605,0.947,1.0,1.0,0.36403915249378677,0.36666666666666664,0.4929158186594976
2020-12-02,60,866745.0,60,866745.0,298652.0,19,0.5105933333333332,0.494,0.23217265117752836,0.0605,0.947,1.0,1.0,0.3445673179539542,0.31666666666666665,0.5046525634413813
2020-12-03,60,806273.0,60,806273.0,263182.0,17,0.5158316666666666,0.505,0.23048719107883728,0.0605,0.947,1.0,1.0,0.32641797505311476,0.2833333333333333,0.5071814850553101
2020-12-04,55,798460.0,55,798460.0,249037.0,15,0.5168836363636364,0.494,0.22664747611869945,0.0605,0.947,1.0,1.0,0.3118966510532776,0.2727272727272727,0.5168773267289531
2020-12-05,63,1028124.0,63,1028124.0,321995.0,19,0.5077238095238095,0.494,0.22446351719821953,0.0605,0.947,1.0,1.0,0.31318693075932474,0.30158730158730157,0.5293331586462336
2020-12-06,66,996592.0,66,996592.0,321013.0,22,0.5097060606060605,0.485,0.2432517745235537,0.0605,0.961,1.0,1.0,0.3221107534477499,0.3333333333333333,0.538015300142887
2020-12-07,61,801513.0,61,801513.0,257597.0,19,0.501911475409836,0.485,0.23284155921882493,0.0605,0.947,1.0,1.0,0.32138842414283986,0.3114754098360656,0.5154243092750835
2020-12-08,62,808527.0,62,808527.0,263944.0,20,0.49886451612903215,0.473,0.23216809349754897,0.0605,0.947,1.0,1.0,0.32645044630544184,0.3225806451612903,0.5117547374422872
2020-12-09,65,877375.0,65,877375.0,285156.0,21,0.49350153846153844,0.473,0.22946385982621784,0.0605,0.947,1.0,1.0,0.3250104003419291,0.3230769230769231,0.5114928062686992
2020-12-10,61,830633.0,61,830633.0,274918.0,20,0.49878032786885246,0.485,0.23508192318116977,0.0605,0.947,1.0,1.0,0.33097408843616855,0.32786885245901637,0.5116013536664208
2020-12-11,54,849279.0,54,849279.0,265955.0,17,0.5043814814814813,0.473,0.2310526249572824,0.0605,0.947,1.0,1.0,0.31315386345358825,0.3148148148148148,0.5249778251905438
2020-12-12,60,1049557.0,60,1049557.0,316857.0,18,0.5324266666666666,0.505,0.24094067267983713,0.0605,0.961,1.0,1.0,0.30189594276442344,0.3,0.5529852969395659
2020-12-13,60,922643.0,60,922643.0,282244.0,18,0.5264099999999998,0.505,0.23879042275602255,0.0605,0.961,1.0,1.0,0.3059081356494332,0.3,0.5452753732483745
2020-12-14,60,790905.0,60,790905.0,251672.0,18,0.5089933333333333,0.485,0.22658064667205732,0.0605,0.947,1.0,1.0,0.3182076229129921,0.3,0.5157177202065987
2020-12-15,60,810931.0,60,810931.0,265271.0,19,0.4999933333333333,0.473,0.2266005735976903,0.0605,0.947,1.0,1.0,0.3271190767155282,0.31666666666666665,0.5129535771847421
2020-12-16,59,830652.0,59,830652.0,266635.0,18,0.5062305084745763,0.494,0.22555200658357027,0.0605,0.947,1.0,1.0,0.320994832974579,0.3050847457627119,0.516945363642055
2020-12-17,61,842803.0,61,842803.0,280273.0,20,0.500222950819672,0.485,0.2308813673682097,0.0605,0.947,1.0,1.0,0.3325486501590526,0.32786885245901637,0.5161850268686753
2020-12-18,51,863896.0,51,863896.0,277648.0,16,0.5119725490196078,0.485,0.24084559126413868,0.0605,0.96,1.0,1.0,0.32139053774991433,0.3137254901960784,0.5334660662857567
2020-12-19,62,1071488.0,62,1071488.0,333123.0,19,0.5297677419354838,0.505,0.23792249859103523,0.0605,0.961,1.0,1.0,0.3108975555489189,0.3064516129032258,0.5535000608499581
2020-12-20,63,972931.0,63,972931.0,300976.0,19,0.5335809523809523,0.505,0.2391605452526189,0.0605,0.961,1.0,1.0,0.30934978945063935,0.30158730158730157,0.5522811508729809
2020-12-21,62,908624.0,62,908624.0,302446.0,21,0.513074193548387,0.485,0.24298979398083198,0.0605,0.961,1.0,1.0,0.3328615576960327,0.3387096774193548,0.5295898661052316
2020-12-22,64,944714.0,64,944714.0,310498.0,21,0.507978125,0.485,0.23464903712779223,0.0605,0.96,1.0,1.0,0.3286687822981347,0.328125,0.5273086581759137
2020-12-23,66,1081545.0,66,1081545.0,324987.0,19,0.5354484848484848,0.525,0.23395976330092072,0.0605,0.961,1.0,1.0,0.30048402979071603,0.2878787878787879,0.5560572895256326
2020-12-24,53,2940858.0,53,2940858.0,916783.0,21,0.5168132075471699,0.467,0.24533504879727225,0.0823,0.961,1.0,1.0,0.31173997520451513,0.39622641509433965,0.6071287013517823
2020-12-25,51,1574384.0,51,1574384.0,482279.0,18,0.5381392156862743,0.525,0.24508751667796658,0.0678,0.961,1.0,1.0,0.30632869744611224,0.35294117647058826,0.6023812192578178
