date,top200_rows,unique_tracks,tracks_with_valence,valence_coverage,avg_valence,sad_songs_count,share_sad_songs
2018-12-12,200,200,196,0.98,0.4656852040816326,62,0.31
2019-01-01,200,200,190,0.95,0.4950631578947368,55,0.275
2019-01-02,200,200,195,0.975,0.4802789743589743,59,0.295
2019-01-03,200,200,199,0.995,0.47246482412060303,60,0.3
2019-01-04,200,200,199,0.995,0.4603673366834171,67,0.335
2019-01-05,200,200,195,0.975,0.4652769230769231,64,0.32
2019-01-06,200,200,196,0.98,0.4887612244897959,58,0.29
2019-01-07,200,200,194,0.97,0.48104845360824744,58,0.29
2019-01-08,200,200,196,0.98,0.505354081632653,56,0.28
2019-01-09,200,200,197,0.985,0.49878426395939085,54,0.27
2019-01-10,200,200,196,0.98,0.49123724489795917,55,0.275
2019-01-11,200,200,197,0.985,0.4965725888324873,47,0.235
2019-01-12,200,200,196,0.98,0.5037729591836735,50,0.25
2019-02-01,200,200,191,0.955,0.4604256544502618,59,0.295
2019-02-02,200,200,196,0.98,0.47316530612244895,62,0.31
2019-02-03,200,200,195,0.975,0.4684928205128205,63,0.315
2019-02-04,200,200,199,0.995,0.45947286432160805,68,0.34
2019-02-05,200,200,199,0.995,0.4586005025125628,68,0.34
2019-02-06,200,200,195,0.975,0.4912933333333333,57,0.285
2019-02-07,200,200,195,0.975,0.4881046153846154,57,0.285
2019-02-08,200,200,197,0.985,0.5097837563451777,54,0.27
2019-02-09,200,200,198,0.99,0.4911237373737373,56,0.28
2019-02-10,200,200,196,0.98,0.4914107142857143,56,0.28
2019-02-11,200,200,196,0.98,0.5065857142857143,44,0.22
2019-02-12,200,200,197,0.985,0.4868010152284264,53,0.265
2019-03-01,200,200,192,0.96,0.45386614583333335,61,0.305
2019-03-02,200,200,196,0.98,0.4678897959183674,62,0.31
2019-03-03,200,200,195,0.975,0.4709523076923077,62,0.31
2019-03-04,200,200,199,0.995,0.4590206030150754,67,0.335
2019-03-05,200,200,199,0.995,0.4664798994974874,67,0.335
2019-03-06,200,200,194,0.97,0.4784530927835052,58,0.29
2019-03-07,200,200,196,0.98,0.4831908163265306,57,0.285
2019-03-08,200,200,196,0.98,0.5163285714285715,50,0.25
2019-03-09,200,200,197,0.985,0.49032741116751266,56,0.28
2019-03-10,200,200,196,0.98,0.4937219387755102,54,0.27
2019-03-11,200,200,196,0.98,0.4919734693877551,49,0.245
2019-03-12,200,200,196,0.98,0.4896163265306122,51,0.255
2019-04-01,200,200,190,0.95,0.464691052631579,59,0.295
2019-04-02,200,200,196,0.98,0.4545989795918367,64,0.32
2019-04-03,200,200,197,0.985,0.4589020304568528,66,0.33
2019-04-04,200,200,197,0.985,0.4591324873096447,67,0.335
2019-04-05,200,200,198,0.99,0.4747954545454546,64,0.32
2019-04-06,200,200,195,0.975,0.47755333333333333,59,0.295
2019-04-07,200,200,196,0.98,0.4917877551020408,56,0.28
2019-04-08,200,200,197,0.985,0.5121593908629442,53,0.265
2019-04-09,200,200,196,0.98,0.48585459183673474,58,0.29
2019-04-10,200,200,197,0.985,0.4901355329949238,56,0.28
2019-04-11,200,200,196,0.98,0.4805295918367347,50,0.25
2019-04-12,200,200,196,0.98,0.4958612244897959,50,0.25
2019-05-01,200,200,192,0.96,0.46756614583333334,60,0.3
2019-05-02,200,200,196,0.98,0.4585173469387755,63,0.315
2019-05-03,0,0,0,0.0,,0,0.0
2019-05-04,200,200,199,0.995,0.4588195979899497,66,0.33
2019-05-05,200,200,198,0.99,0.4616616161616162,65,0.325
2019-05-06,200,200,195,0.975,0.47068153846153843,61,0.305
2019-05-07,200,200,196,0.98,0.48880816326530613,60,0.3
2019-05-08,200,200,198,0.99,0.5021434343434343,55,0.275
2019-05-09,200,200,197,0.985,0.49850964467005077,54,0.27
2019-05-10,0,0,0,0.0,,0,0.0
2019-05-11,200,200,196,0.98,0.48426428571428576,50,0.25
2019-05-12,200,200,196,0.98,0.4893867346938775,55,0.275
2019-06-01,200,200,192,0.96,0.45255,64,0.32
2019-06-02,200,200,195,0.975,0.46240717948717946,62,0.31
2019-06-03,200,200,195,0.975,0.4619420512820513,64,0.32
2019-06-04,200,200,197,0.985,0.46523096446700507,63,0.315
